smid,楼盘名称,城区,物业类型,开发商,总套数,总面积,住宅套数,住宅面积,可售总套数,可售总面积,可售住宅套数,可售住宅面积,已售总套数,已售总面积,已售住宅套数,已售住宅面积,累积成交毛坯均价,历史开盘信息,历史开盘信息（次数）
2587,宋都·晨光国际花园,下沙区,"住宅,商业",杭州恒都房地产开发有限公司,649,63125.05,634,60249.85,432,42906.43,419,40430.23,212,19503.72,212,19503.72,14267,20113007#20113015#20113034#,3
707,宋都·水湘苑,江干区,其他,杭州宋都房地产集团有限公司,37,910.6,0,0,4,81.94,0,0,29,722.38,0,0,6978,20060113#,1
900,宋都·新城国际花园,江干区,商业,杭州宋都房地产有限公司,790,124897.15,740,119082.81,7,1571.61,2,408.93,761,121604.01,738,118673.88,11464,20060019#20060020#20060050#20060051#20060093#20060096#20070001#20070002#20070003#20070076#,10
1356,宋都·阳光国际花园,江干区,"住宅,商业,其他",浙江东霖房地产开发有限公司,1464,172822.25,1403,158205.17,299,52327.82,275,46136.06,1125,111739.08,1125,111739.08,19753,20090032#20090111#20090126#20090135#20090147#20100079#20100087#,7
2570,宋都·阳光景台,江干区,"住宅,商业,其他",浙江亚西亚房地产开发有限公司,300,32107.83,286,30126.56,97,11542.92,97,11542.92,91,9335.45,91,9335.45,18353,20100084#,1
2553,泰地·北上新城,下城区,"商业,办公",杭州泰地置业有限公司,1629,93565.86,0,0,564,33772.54,0,0,1054,58716.47,0,0,11796,20100015#,1
601,泰地·万新大厦,上城区,办公,杭州万通房地产开发有限公司,543,61842.01,0,0,2,96.1,0,0,515,57177.42,0,0,13686,20050018#20070140#,2
598,天河西苑,西湖区,"商业,其他",浙江省天河房地产联合发展公司,248,23472.42,134,17806.75,4,179.46,0,0,168,19893.53,134,17806.75,8335,20050028#20060002#,2
1060,天恒大厦,滨江区,"商业,办公,其他",杭州宏?置业有限公司,160,51696.55,0,0,56,18006.46,0,0,99,21646.35,0,0,15985,20094057#,1
1237,天鸿·君邑,滨江区,住宅,杭州东润房地产开发有限公司,1149,117985.15,843,90410.52,55,12820.88,12,2648.75,1085,103588.44,831,87761.77,12299,20084027#20094010#20094011#20094035#20104009#,5
3871,天湖·文溪鼎园,西湖区,"住宅,商业",浙江天湖房地产开发有限公司,121,11151.28,100,8676.56,35,3016.32,35,3016.32,63,5506.38,63,5506.38,26423,20110034#,1
1241,天阳·观筑,江干区,住宅,杭州天联置业有限公司,944,88192.46,926,86241.49,32,4952.41,28,4769.01,897,81383.31,897,81383.31,10058,20090033#20090044#20090068#20090081#20090108#20100007#20100022#,7
1814,天阳·九筑,江干区,"住宅,商业,其他",杭州天联置业有限公司,943,89213.49,840,81948.26,540,53528.34,455,47923.39,383,33861.41,383,33861.41,17827,20100133#20110013#20110054#,3
709,天阳·美林湾,拱墅区,商业,杭州祥瑞置业有限公司,1212,127005.41,1120,119120.19,5,652.03,2,209.16,1162,122282.15,1114,118389.89,7190,20050067#20050097#20060021#20060037#20060085#20060123#20060124#20080037#20080162#,9
802,天阳·上河湾,拱墅区,住宅,杭州天瑞置业有限公司,674,68068.2,648,64723.26,20,3342.8,11,2287.27,648,63216.47,637,62435.99,15327,20080046#20080126#,2
834,天亿大厦,西湖区,"商业,其他",杭州天亿商城实业有限公司,100,80280.43,0,0,2,437.52,0,0,91,18875.28,0,0,10281,20080100#,1
772,天元·西溪锋尚苑,西湖区,办公,杭州天元世纪置业有限公司,668,45677.35,0,0,7,1004.66,0,0,654,43850.35,0,0,10157,20070137#20070139#,2
638,天元公寓,下沙区,其他,杭州万行置业有限公司,707,81242.34,568,71671.36,1,187.76,0,0,688,78195.26,568,71671.36,4724,20053003#20063001#20113024#,3
508,通策·和睦院,拱墅区,"住宅,其他",杭州西湖城建开发有限公司,539,51022.81,213,23989.91,13,466.58,0,0,447,32886.44,185,21242.05,7807,20040013#20040060#20060029#20060157#,4
556,通策·钱江时代公寓,上城区,"住宅,其他",杭州闽信房地产开发有限公司,822,125116.24,799,121389.49,22,5467.82,8,2973.89,786,116308.3,786,116308.3,10684,20040076#,1
536,通策广场,滨江区,商业,浙江联发房地产实业有限公司,294,42729.56,0,0,2,93,0,0,291,42461.14,0,0,8019,20044011#20084006#,2
523,通和·都市枫林公寓,下城区,住宅,杭州通和房地产开发有限公司,1647,188391.47,1503,170560.13,2,230.87,2,230.87,1628,183745.07,1501,170329.26,6285,20040036#20040106#20040110#20050013#20050016#20050037#,6
984,通润银座,上城区,"商业,办公",杭州南都佑圣房地产开发有限公司,329,20251.33,0,0,3,149.9,0,0,325,20016.55,0,0,26499,20090062#,1
521,同方·超级星期天,滨江区,"住宅,商业,其他",浙江省城乡建设开发总公司,740,35112.07,352,19924.32,1,40.05,0,0,711,33856.66,352,19924.32,6291,20044010#,1
1020,同方·国际大厦,江干区,"商业,办公,其他",浙江中发工业品贸易中心有限公司,659,47433.41,0,0,44,1910.91,0,0,549,23703.39,0,0,20232,20090106#,1
